ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
1,POST,ALIGNMENT,Catalog_11_01.txt,TRUE,CIEC,5,,x,,,,,,,,,
2,POST,ALIGNMENT,Mapping_npp_11_01.txt,TRUE,CIEC,5,,x,,,,,,,,,
3,POST,ALIGNMENT,Attribute_BBTemplate_11_01.txt,TRUE,CIEC,5,,x,,,,,,,,,
4,POST,ALIGNMENT,Catalog_01_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
5,POST,ALIGNMENT,Catalog_14_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
6,POST,ALIGNMENT,Attribute_BBTemplate_14_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
7,POST,ALIGNMENT,Catalog_22_02.txt,TRUE,CANVASS,5,,x,,,,,,,,,
8,POST,ALIGNMENT,Catalog_07_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
9,POST,ALIGNMENT,Mapping_npp_07_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
10,POST,ALIGNMENT,Mapping_npp_21_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
11,POST,ALIGNMENT,Catalog_21_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
12,POST,ALIGNMENT,Attribute_BBTemplate_21_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
13,POST,ALIGNMENT,Catalog_21_03_ChangeGlass.txt,TRUE,CANVASS,5,,x,,,,,,,,,
14,POST,ALIGNMENT,Add_EndDate.txt,FALSE,CANVASS,5,,x,,,,,,,,,
15,POST,ALIGNMENT,ADD_PLE_21_03_GlassProducts.txt,FALSE,CANVASS,5,,x,,,,,,,,,
16,POST,ALIGNMENT,Delete_Catalog_26_02.txt,FALSE,CANVASS,5,,x,,,,,,,,,
17,POST,ALIGNMENT,Mapping_npp_26_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
18,POST,ALIGNMENT,Catalog_26_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
19,POST,ALIGNMENT,Attribute_BBTemplate_26_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
20,POST,ALIGNMENT,Catalog_04_04.txt,TRUE,CIEC,5,,x,,,,,,,,,
23,POST,ALIGNMENT,Mapping_npp_14_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
24,POST,ALIGNMENT,Catalog_14_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
25,POST,ALIGNMENT,Attribute_BBTemplate_14_03.txt,TRUE,CANVASS,5,,x,,,,,,,,,
37,POST,ALIGNMENT,Catalog_10_04.txt,TRUE,CIEC,5,,,,,x,,,,,,
38,POST,ALIGNMENT,Delete_Catalog_10_04.txt,FALSE,CIEC,5,,,,,x,,,,,,
39,POST,ALIGNMENT,SalesPrintName_10_04.txt,FALSE,CIEC,5,,,,,x,,,,,,
40,POST,ALIGNMENT,Catalog_18_04.txt,TRUE,CIEC,5,,,,,x,,,,,,
41,POST,ALIGNMENT,Attribute_BBTemplate_18_04.txt,TRUE,CIEC,5,,,,,x,,,,,,
42,POST,ALIGNMENT,Delete_Catalog_18_04.txt,FALSE,CIEC,5,,,,,x,,,,,,
43,POST,ALIGNMENT,Add_NoFatt_True_18_04.txt,FALSE,CIEC,5,,,,,x,,,,,,
44,POST,ALIGNMENT,Catalog_07_05.txt,TRUE,CIEC,5,,X,,,,,,,,,
45,POST,ALIGNMENT,Attribute_BBTemplate_07_05.txt,TRUE,CIEC,5,,X,,,,,,,,,
46,POST,ALIGNMENT,Mapping_npp_07_05.txt,TRUE,CIEC,5,,X,,,,,,,,,
47,POST,ALIGNMENT,CatalagDimension_07_05.txt,FALSE,CIEC,5,,X,,,,,,,,,
48,POST,ALIGNMENT,CustomMetaData_07_05.txt,FALSE,CIEC,5,,X,,,,,,,,,
49,POST,ALIGNMENT,No_Fatt_To_True_07_05.txt,FALSE,CIEC,5,,X,,,,,,,,,
50,POST,ALIGNMENT,Catalog_16_05.txt,FALSE,CIEC,5,,,,,x,,,,,,
51,POST,ALIGNMENT,Catalog_Dimension_16_05.txt,FALSE,CIEC,5,,,,,x,,,,,,
52,POST,ALIGNMENT,Catalog_Product_Relationship_16_05.txt,TRUE,CIEC,5,,,,,x,,,,,,
53,POST,ALIGNMENT,Catalog_Relationship_16_05.txt,FALSE,CIEC,5,,,,,x,,,,,,
54,POST,ALIGNMENT,SalesPrintName_16_05_2024.txt,FALSE,CIEC,5,,,,,x,,,,,,
55,POST,ALIGNMENT,Catalog_16_05_V1.txt,TRUE,CIEC,5,X,,,,,,,,,,
56,POST,ALIGNMENT,Mapping_npp_16_05.txt,TRUE,CIEC,5,X,,,,,,,,,,
57,POST,ALIGNMENT,SalesPrintName_16_05.txt,FALSE,CIEC,5,X,,,,,,,,,,
66,POST,ALIGNMENT,Catalog_23_05.txt,TRUE,CIEC,5,x,,,,,,,,,,
67,POST,ALIGNMENT,Delete_Catalog_23_05.txt,FALSE,CIEC,5,x,,,,,,,,,,
68,POST,ALIGNMENT,Add_NoFatt_True_23_05.txt,FALSE,CIEC,5,x,,,,,,,,,,
80,POST,ALIGNMENT,Catalog_01_06.txt,TRUE,CIEC,5,,x,,,,,,,,,
81,POST,ALIGNMENT,Attribute_BBTemplate_01_06.txt,TRUE,CIEC,5,,x,,,,,,,,,
82,POST,ALIGNMENT,Mapping_npp_01_06.txt,TRUE,CIEC,5,,x,,,,,,,,,
83,POST,ALIGNMENT,MP_PINC6.txt,FALSE,CIEC,5,,x,,,,,,,,,
84,POST,ALIGNMENT,Catalog_27_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
85,POST,ALIGNMENT,Attribute_BBTemplate_27_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
86,POST,ALIGNMENT,SalesPrintName_27_06.txt,FALSE,CIEC,5,x,,,,,,,,,,
87,POST,ALIGNMENT,CustomMetaData_27_06.txt,FALSE,CIEC,5,x,,,,,,,,,,
88,POST,ALIGNMENT,Catalog_04_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
89,POST,ALIGNMENT,Attribute_BBTemplate_04_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
90,POST,ALIGNMENT,Mapping_npp_04_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
91,POST,ALIGNMENT,SalesPrintName_04_07.txt,FALSE,CIEC,5,x,,,,,,,,,,
92,POST,ALIGNMENT,Custom_Label_04_07.txt,FALSE,CIEC,5,x,,,,,,,,,,
93,POST,ALIGNMENT,Delete_Catalog_04_07.txt,FALSE,CIEC,5,x,,,,,,,,,,
94,POST,ALIGNMENT,Catalog_11_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
95,POST,ALIGNMENT,Mapping_npp_11_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
96,POST,ALIGNMENT,Attribute_BBTemplate_11_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
97,POST,ALIGNMENT,SalesPrintName_11_07.txt,FALSE,CIEC,5,x,,,,,,,,,,
98,POST,ALIGNMENT,Catalog_18_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
99,POST,ALIGNMENT,Mapping_npp_18_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
100,POST,ALIGNMENT,Attribute_BBTemplate_18_07.txt,TRUE,CIEC,5,x,,,,,,,,,,
101,POST,ALIGNMENT,SalesPrintName_18_07.txt,FALSE,CIEC,5,x,,,,,,,,,,
146,POST,ALIGNMENT,Catalog_06_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
147,POST,ALIGNMENT,Mapping_npp_06_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
148,POST,ALIGNMENT,SalesPrintName_06_06.txt,FALSE,CIEC,5,x,,,,,,,,,,
149,POST,ALIGNMENT,Add promos in FinanziariaNotCompatiblePromos_06-06.txt,FALSE,CIEC,5,x,,,,,,,,,,
150,POST,ALIGNMENT,Delete ruleset from promotion_06-06.txt,FALSE,CIEC,5,x,,,,,,,,,,
151,POST,ALIGNMENT,Delete SKY Q Black product_06-06.txt,FALSE,CIEC,5,x,,,,,,,,,,
152,POST,ALIGNMENT,Delete_Catalog_06_06.txt,FALSE,CIEC,5,x,,,,,,,,,,
153,POST,ALIGNMENT,Catalog_13_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
154,POST,ALIGNMENT,SalesPrintName_13_06.txt,FALSE,CIEC,5,x,,,,,,,,,,
155,POST,ALIGNMENT,Catalog_20_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
156,POST,ALIGNMENT,Attribute_BBTemplate_20_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
157,POST,ALIGNMENT,Mapping_npp_20_06.txt,TRUE,CIEC,5,x,,,,,,,,,,
158,POST,ALIGNMENT,SalesPrintName_20_06.txt,FALSE,CIEC,5,x,,,,,,,,,,
177,POST,ALIGNMENT,Catalog_24_07.txt,TRUE,CIEC,5,,x,,,,,,,,,
178,POST,ALIGNMENT,Mapping_npp_24_07.txt,TRUE,CIEC,5,,x,,,,,,,,,
256,POST,ALIGNMENT,Attribute_BBTemplate_01_08.txt,TRUE,CIEC,5,X,,,,,,,,,,
257,POST,ALIGNMENT,Catalog_01_08.txt,TRUE,CIEC,5,X,,,,,,,,,,
258,POST,ALIGNMENT,Mapping_npp_01_08.txt,TRUE,CIEC,5,X,,,,,,,,,,
259,POST,ALIGNMENT,SalesPrintName_01_08.txt,FALSE,CIEC,5,X,,,,,,,,,,
260,POST,ALIGNMENT,Catalog_22_08.txt,TRUE,CIEC,5,x,,,,,,,,,,
261,POST,ALIGNMENT,Mapping_npp_22_08.txt,TRUE,CIEC,5,x,,,,,,,,,,
262,POST,ALIGNMENT,Attribute_BBTemplate_22_08.txt,TRUE,CIEC,5,x,,,,,,,,,,
263,POST,ALIGNMENT,SalesPrintName_22_08.txt,FALSE,CIEC,5,x,,,,,,,,,,
264,POST,ALIGNMENT,Attribute_BBTemplate_29_08.txt,TRUE,CIEC,5,x,,,,,,,,,,
265,POST,ALIGNMENT,Catalog_29_08.txt,TRUE,CIEC,5,x,,,,,,,,,,
266,POST,ALIGNMENT,Mapping_npp_29_08.txt,TRUE,CIEC,5,x,,,,,,,,,,
267,POST,ALIGNMENT,Attribute_BBTemplate_05_09.txt,TRUE,CIEC,5,X,,,,,,,,,,
268,POST,ALIGNMENT,Catalog_05_09.txt,TRUE,CIEC,5,X,,,,,,,,,,
269,POST,ALIGNMENT,Delete_Catalog_05_09.txt,FALSE,CIEC,5,X,,,,,,,,,,
270,POST,ALIGNMENT,SalesPrintName_05_09.txt,FALSE,CIEC,5,X,,,,,,,,,,
271,POST,ALIGNMENT,Catalog_12_09.txt,TRUE,CIEC,5,X,,,,,,,,,,
272,POST,ALIGNMENT,SalesPrintName_12_09.txt,FALSE,CIEC,5,X,,,,,,,,,,
273,POST,ALIGNMENT,Attribute_BBTemplate_17_10.txt,TRUE,CIEC,5,X,,,,,,,,,,
274,POST,ALIGNMENT,Catalog_17_10.txt,TRUE,CIEC,5,X,,,,,,,,,,
275,POST,ALIGNMENT,Mapping_npp_17_10.txt,TRUE,CIEC,5,X,,,,,,,,,,
276,POST,ALIGNMENT,delete_catalog_17_10.txt,TRUE,CIEC,5,X,,,,,,,,,,
277,POST,ALIGNMENT,Catalog_24_10.txt,TRUE,CIEC,5,x,,,,,,,,,,
278,POST,ALIGNMENT,Attribute_BBTemplate_24_10.txt,TRUE,CIEC,5,x,,,,,,,,,,
279,POST,ALIGNMENT,Mapping_npp_24_10.txt,TRUE,CIEC,5,x,,,,,,,,,,
280,POST,ALIGNMENT,SalesPrintName_24_10.txt,FALSE,CIEC,5,x,,,,,,,,,,
281,POST,ALIGNMENT,delete_catalog_24_10.txt,FALSE,CIEC,5,x,,,,,,,,,,
282,POST,ALIGNMENT,Attribute_BBTemplate_07_11.txt,TRUE,CIEC,5,x,,,,,,,,,,
283,POST,ALIGNMENT,Catalog_07_11.txt,TRUE,CIEC,5,x,,,,,,,,,,
284,POST,ALIGNMENT,delete_catalog_07_11.txt,FALSE,CIEC,5,x,,,,,,,,,,
285,POST,ALIGNMENT,Mapping_npp_07_11.txt,TRUE,CIEC,5,x,,,,,,,,,,
286,POST,ALIGNMENT,SalesPrintName_07_11.txt,FALSE,CIEC,5,x,,,,,,,,,,
287,PRE,ALIGNMENT,Pre_Deployment_Steps_07_11.txt,FALSE,CIEC,5,x,,,,,,,,,,
288,POST,ALIGNMENT,recPLEactivationINC_07_11.txt,FALSE,CIEC,5,x,,,,,,,,,,
289,POST,ALIGNMENT,Catalog_14_11.txt,TRUE,CIEC,5,x,,,,,,,,,,
290,POST,ALIGNMENT,SalesPrintName_14_11.txt,FALSE,CIEC,5,x,,,,,,,,,,
